Strategy,MR_lookback,MR_quantile,MR_long_short,MOM_lookback,MOM_long_short,MOM_neutral_band,trans_cost_bps,Sharpe,CAGR,Volatility,Max Drawdown,Win Rate,Avg Daily Turnover,Start,End,Days
MR,3,0.4,true,,,,0.0,0.8864659280900082,0.08267700076913687,0.09468428494014877,-0.16260307012559172,0.5208830548926014,0.35329222200119353,2000-01-06,2019-12-31,5028
MR,5,0.4,true,,,,0.0,0.8848853348945431,0.084332721877308,0.09681162941999846,-0.16019292009999775,0.5103461997612415,0.2810945273631841,2000-01-10,2019-12-31,5026
MR,3,0.4,false,,,,0.0,0.8558080115054066,0.1598280799415932,0.19561750237422035,-0.3278460147218769,0.5330151153540175,0.3486174656852994,2000-01-06,2019-12-31,5028
MR,10,0.4,false,,,,0.0,0.8554373322310296,0.1602619803794456,0.1964482582881907,-0.3434220646046865,0.5351523600876319,0.2061752988047809,2000-01-18,2019-12-31,5021
MR,5,0.4,false,,,,0.0,0.8432670117636397,0.15763634176296004,0.19662033738478008,-0.3662757161413138,0.5300437723836052,0.27741293532338307,2000-01-10,2019-12-31,5026
